216,10,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$pro_feature'.
Learn more (opens in a new tab)"
,,,
FILE: app/shortcodes/single-idea.php,,,
Line,Column,Code,Message
79,28,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'apply_filters'.
Learn more (opens in a new tab)"
,,,
FILE: app/shortcodes/roadmap-tabs.php,,,
Line,Column,Code,Message
104,35,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'admin_url'.
Learn more (opens in a new tab)"
105,33,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'wp_create_nonce'.
Learn more (opens in a new tab)"
,,,
FILE: app/shortcodes/roadmap.php,,,
Line,Column,Code,Message
140,113,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$selected'.
Learn more (opens in a new tab)"
,,,
FILE: app/includes/display-ideas-admin.php,,,
Line,Column,Code,Message
12,81,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$selected'.
Learn more (opens in a new tab)"
,,,
FILE: app/class-voting.php,,,
Line,Column,Code,Message
74,1,WordPress.Security.EscapeOutput.HeredocOutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found interpolation in unescaped heredoc.
Learn more (opens in a new tab)"
80,1,WordPress.Security.EscapeOutput.HeredocOutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found interpolation in unescaped heredoc.
Learn more (opens in a new tab)"
,,,
FILE: EDD_SL_Plugin_Updater.php,,,
Line,Column,Code,Message
225,13,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.
Learn more (opens in a new tab)"
226,13,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$file'.
Learn more (opens in a new tab)"
268,17,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.
Learn more (opens in a new tab)"
276,17,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.
Learn more (opens in a new tab)"
,,,
FILE: EDD_SL_Plugin_Updater.php,,,
Line,Column,Code,Message
0,0,plugin_updater_detected,"Plugin Updater detected.
These are not permitted in WordPress.org hosted plugins. Detected: class EDD_SL_Plugin_Updater"
0,0,plugin_updater_detected,"Plugin Updater detected.
These are not permitted in WordPress.org hosted plugins. Detected: site_transient_update_plugins"
0,0,update_modification_detected,"Plugin Updater detected.
Detected code which may be altering WordPress update routines. Detected: pre_set_site_transient_update_plugins
Learn more (opens in a new tab)"
0,0,update_modification_detected,"Plugin Updater detected.
Detected code which may be altering WordPress update routines. Detected: _site_transient_update_plugins
Learn more (opens in a new tab)"
,,,
FILE: app/shortcodes/roadmap.php,,,
Line,Column,Code,Message
135,33,WordPress.WP.DeprecatedParameters.Get_termsParam2Found,"The parameter ""array( 'hide_empty' => false )"" at position #2 of get_terms() has been deprecated since WordPress version 4.5.0. Instead do not pass the parameter."
,,,
FILE: app/includes/display-ideas-admin.php,,,
Line,Column,Code,Message
7,37,WordPress.WP.DeprecatedParameters.Get_termsParam2Found,"The parameter ""array( 'hide_empty' => false )"" at position #2 of get_terms() has been deprecated since WordPress version 4.5.0. Instead do not pass the parameter."
,,,
FILE: app/class-voting.php,,,
Line,Column,Code,Message
73,14,Squiz.PHP.Heredoc.NotAllowed,"Use of heredoc and nowdoc syntax (""<<<"") is not allowed; use standard strings or inline HTML instead"
36,77,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_SERVER['REMOTE_ADDR'] not unslashed before sanitization. Use wp_unslash() or similar
37,85,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_SERVER['HTTP_USER_AGENT'] not unslashed before sanitization. Use wp_unslash() or similar
,,,
FILE: pro/settings/custom-taxonomies.php,,,
Line,Column,Code,Message
27,25,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_GET['_wpnonce'] not unslashed before sanitization. Use wp_unslash() or similar
27,25,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_GET['_wpnonce']
27,65,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_GET['taxonomy'] not unslashed before sanitization. Use wp_unslash() or similar
27,65,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_GET['taxonomy']
27,106,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_GET['taxonomy'] not unslashed before sanitization. Use wp_unslash() or similar
27,106,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_GET['taxonomy']
35,18,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_METHOD']. Use isset() or empty() to check the index exists before using it
37,77,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['wp_roadmap_add_term_nonce'] not unslashed before sanitization. Use wp_unslash() or similar
37,77,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['wp_roadmap_add_term_nonce']
37,131,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['taxonomy_slug'] not unslashed before sanitization. Use wp_unslash() or similar
37,131,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['taxonomy_slug']
41,41,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['new_term'] not unslashed before sanitization. Use wp_unslash() or similar
42,41,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['taxonomy_slug'] not unslashed before sanitization. Use wp_unslash() or similar
61,7,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_METHOD']. Use isset() or empty() to check the index exists before using it
62,25,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['wp_roadmap_pro_nonce'] not unslashed before sanitization. Use wp_unslash() or similar
62,25,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['wp_roadmap_pro_nonce']
64,46,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_POST['taxonomy_singular']. Use isset() or empty() to check the index exists before using it
64,46,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['taxonomy_singular'] not unslashed before sanitization. Use wp_unslash() or similar
65,46,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_POST['taxonomy_plural']. Use isset() or empty() to check the index exists before using it
65,46,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['taxonomy_plural'] not unslashed before sanitization. Use wp_unslash() or similar
,,,
FILE: pro/blocks/new-idea-form-block.php,,,
Line,Column,Code,Message
139,14,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
139,55,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
270,16,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['idea_taxonomies'] not unslashed before sanitization. Use wp_unslash() or similar
270,16,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['idea_taxonomies']
280,36,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['selected_statuses'] not unslashed before sanitization. Use wp_unslash() or similar
280,36,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['selected_statuses']
291,76,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_URI']. Use isset() or empty() to check the index exists before using it
291,76,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_SERVER['REQUEST_URI'] not unslashed before sanitization. Use wp_unslash() or similar
,,,
FILE: app/shortcodes/new-idea-form.php,,,
Line,Column,Code,Message
32,17,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
32,50,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
50,31,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_URI']. Use isset() or empty() to check the index exists before using it
50,31,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_SERVER['REQUEST_URI'] not unslashed before sanitization. Use wp_unslash() or similar
120,20,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_METHOD']. Use isset() or empty() to check the index exists before using it
123,42,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['idea_title'] not unslashed before sanitization. Use wp_unslash() or similar
124,52,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_POST['idea_description']. Use isset() or empty() to check the index exists before using it
124,52,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['idea_description'] not unslashed before sanitization. Use wp_unslash() or similar
139,20,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_METHOD']. Use isset() or empty() to check the index exists before using it
141,22,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['idea_taxonomies'] not unslashed before sanitization. Use wp_unslash() or similar
141,22,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['idea_taxonomies']
151,111,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_URI']. Use isset() or empty() to check the index exists before using it
151,111,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_SERVER['REQUEST_URI'] not unslashed before sanitization. Use wp_unslash() or similar
,,,
FILE: app/shortcodes/single-idea.php,,,
Line,Column,Code,Message
32,20,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
32,49,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
,,,
FILE: app/ajax-handlers.php,,,
Line,Column,Code,Message
20,21,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_POST['post_id']. Use isset() or empty() to check the index exists before using it
30,70,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_SERVER['REMOTE_ADDR'] not unslashed before sanitization. Use wp_unslash() or similar
31,78,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_SERVER['HTTP_USER_AGENT'] not unslashed before sanitization. Use wp_unslash() or similar
73,56,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['filter_data'] not unslashed before sanitization. Use wp_unslash() or similar
73,56,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['filter_data']
74,68,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['search_term'] not unslashed before sanitization. Use wp_unslash() or similar
159,35,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['taxonomy'] not unslashed before sanitization. Use wp_unslash() or similar
162,26,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['nonce'] not unslashed before sanitization. Use wp_unslash() or similar
162,26,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['nonce']
188,46,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_POST['taxonomy']. Use isset() or empty() to check the index exists before using it
188,46,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['taxonomy'] not unslashed before sanitization. Use wp_unslash() or similar
189,54,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,Detected usage of a possibly undefined superglobal array index: $_POST['terms']. Use isset() or empty() to check the index exists before using it
218,71,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['statuses'] not unslashed before sanitization. Use wp_unslash() or similar
218,71,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_POST['statuses']
253,83,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['idea-status'] not unslashed before sanitization. Use wp_unslash() or similar
254,105,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['selectedTaxonomies'] not unslashed before sanitization. Use wp_unslash() or similar
,,,
FILE: app/cpt-ideas.php,,,
Line,Column,Code,Message
132,3,WordPress.PHP.DevelopmentFunctions.error_log_error_log,error_log() found. Debug code should not normally be used in production.
,,,
FILE: EDD_Licensing.php,,,
Line,Column,Code,Message
120,84,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_POST['roadmapwp_pro_license_key'] not unslashed before sanitization. Use wp_unslash() or similar
,,,
FILE: wp-roadmap-pro.php,,,
Line,Column,Code,Message
34,14,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
34,51,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
36,12,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
39,27,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
39,27,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,$_GET['message'] not unslashed before sanitization. Use wp_unslash() or similar
39,27,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,Detected usage of a non-sanitized input variable: $_GET['message']
134,5,WordPress.PHP.DevelopmentFunctions.error_log_error_log,error_log() found. Debug code should not normally be used in production.
